n,number_of_clusters,does_span,total_cluster_area,occupation_prob
431,394,False,0.016739508568659047,0.02873141790547297
432,395,False,0.016739508568728523,0.02879808012799147
433,396,False,0.016739508570374775,0.028864742350509967
434,397,False,0.01673950857037789,0.028931404573028466
435,398,False,0.016739512314265632,0.028998066795546965
436,398,False,0.016739512314923606,0.029064729018065463
437,399,False,0.016740164385275935,0.029131391240583962
438,400,False,0.016740164385403978,0.02919805346310246
439,401,False,0.01674032860878871,0.02926471568562096
440,402,False,0.016740328610308882,0.029331377908139458
441,403,False,0.016740330447479232,0.029398040130657957
442,404,False,0.016740330488733458,0.029464702353176456
443,405,False,0.01674033048957117,0.029531364575694954
444,406,False,0.016740486029429194,0.029598026798213453
445,407,False,0.01674050321035004,0.029664689020731952
446,408,False,0.016740503210514807,0.02973135124325045
447,409,False,0.0167405032134779,0.02979801346576895
448,410,False,0.01674050436533441,0.029864675688287448
449,411,False,0.0167405043664741,0.029931337910805947
450,412,False,0.01697484311569267,0.029998000133324446
451,413,False,0.016974843115692834,0.030064662355842944
452,414,False,0.016974848352497653,0.030131324578361443
453,415,False,0.016974848352497653,0.030197986800879942
454,416,False,0.016974848481792492,0.03026464902339844
455,416,False,0.01697484848213339,0.03033131124591694
456,416,False,0.016974848482150168,0.030397973468435438
457,417,False,0.01697485105710714,0.030464635690953937
458,418,False,0.01697485105710876,0.030531297913472435
459,419,False,0.016974858093260083,0.030597960135990934
460,420,False,0.01697485809326247,0.030664622358509433
461,421,False,0.01697485906851824,0.03073128458102793
462,422,False,0.01697486009011732,0.03079794680354643
463,423,False,0.016974860090117325,0.03086460902606493
464,424,False,0.016974863872765006,0.030931271248583428
465,424,False,0.01697486387276548,0.030997933471101927
466,425,False,0.016974863872795024,0.031064595693620425
467,426,False,0.01697486387279611,0.031131257916138924
468,427,False,0.016974863881167902,0.031197920138657423
469,428,False,0.018990258493432572,0.03126458236117592
470,428,False,0.018990258535522754,0.03133124458369442
471,429,False,0.01899025853712346,0.03139790680621292
472,430,False,0.01899025853729222,0.03146456902873142
473,431,False,0.01899025853731673,0.03153123125124992
474,432,False,0.01899043883567669,0.031597893473768415
475,433,False,0.018990438836320032,0.031664555696286914
476,434,False,0.018990469603828976,0.03173121791880541
477,435,False,0.018993875075218904,0.03179788014132391
478,436,False,0.018993875103515294,0.03186454236384241
479,437,False,0.018993875320145157,0.03193120458636091
480,438,False,0.01899387532020938,0.03199786680887941
481,439,False,0.018993875432578935,0.032064529031397906
482,440,False,0.018993875457250956,0.032131191253916405
483,441,False,0.018993875600269914,0.032197853476434904
484,442,False,0.018993875730685172,0.0322645156989534
485,443,False,0.018993913382420926,0.0323311779214719
